,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,4,4,8,8,4,4,12,4,4,3,8,4,4,4,4,4,4,4,4,12,4,13,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,
['0.05',4,4,4,3,11,4,4,7,9,4,4,11,4,4,4,8,4,4,4,4,4,4,4,4,12,3,14,4,8,4,4,4,3,3,4,4,4,4,4,4,4,4,5,2,4,4,4,4,1,2,2,4,4,4,4,
['0.04',4,4,4,3,11,3,3,7,9,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,3,13,4,8,4,4,3,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,0,2,1,4,4,4,4,
['0.03',4,4,4,2,8,3,3,7,8,4,4,11,4,4,4,8,4,4,4,4,4,4,4,3,11,3,13,4,8,3,3,2,2,2,3,4,4,4,4,4,4,3,3,1,4,4,4,4,0,1,1,3,4,4,4,
['0.02',3,3,4,2,7,4,3,7,8,4,4,11,4,4,3,8,4,4,4,4,4,4,4,3,9,3,12,4,8,3,3,2,2,2,4,4,4,2,2,2,3,3,2,0,4,4,4,4,0,1,0,3,4,4,4,
['0.01',3,3,4,2,3,4,2,4,4,2,4,12,3,3,2,6,2,2,2,3,2,2,3,2,6,1,9,2,5,2,2,2,2,2,4,4,4,2,1,1,2,1,2,0,3,3,3,3,0,0,0,2,3,4,4,
Drops,1,1,0,1,8,1,2,4,4,2,0,1,1,1,1,2,2,2,2,1,2,2,1,2,6,3,4,2,3,2,2,6,2,2,1,0,0,2,3,3,2,3,2,3,1,1,1,1,4,4,3,2,1,0,0,2.054545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,12,5,4,3,8,4,5,16,4,4,2,9,4,3,4,4,4,4,4,4,10,4,13,4,8,4,3,8,4,4,3,4,4,5,5,4,4,4,4,3,3,4,4,4,3,2,3,4,4,4,4,
['0.05',4,3,4,2,10,6,4,4,8,5,5,14,4,5,2,9,4,3,3,3,3,3,3,3,7,3,10,4,7,4,3,6,3,3,3,4,4,3,1,1,3,4,4,1,2,3,3,3,3,1,1,3,4,4,4,
['0.04',4,4,4,2,10,7,3,3,8,4,5,13,3,4,1,8,4,3,3,3,3,3,2,2,6,3,11,4,10,4,3,4,3,2,3,4,4,2,1,1,3,4,5,1,2,3,3,3,3,2,1,3,2,4,4,
['0.03',4,4,4,2,8,6,3,3,8,3,6,13,3,4,1,9,4,3,3,3,3,3,2,2,5,1,5,1,6,2,2,4,3,2,3,4,3,0,0,0,2,4,5,1,2,3,3,3,1,1,1,1,2,4,4,
['0.02',3,3,3,1,2,6,1,1,4,2,6,9,2,3,1,7,4,3,3,3,3,3,2,3,1,0,3,0,4,0,0,3,2,1,2,3,2,0,0,0,2,4,5,1,1,1,0,1,0,0,0,0,1,2,3,
['0.01',1,1,1,1,0,3,0,1,1,2,4,5,2,5,1,4,1,2,1,2,1,1,0,1,1,0,3,0,3,0,0,2,2,1,4,2,2,0,0,0,2,4,3,1,0,1,0,2,0,0,0,0,0,1,3,
Drops,3,3,3,1,12,2,4,2,7,2,1,11,2,1,1,5,3,1,3,2,3,3,4,3,9,4,10,4,5,4,3,6,2,3,1,2,2,5,5,4,2,0,1,2,3,3,4,3,3,2,3,4,4,3,1,3.436363636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,7,8,4,5,14,4,4,4,8,4,4,4,4,4,4,4,4,12,4,11,4,7,4,4,7,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,
['0.05',3,3,4,4,15,4,4,4,8,4,6,15,4,4,4,8,4,4,4,4,4,4,3,3,9,2,11,4,6,4,4,2,2,2,4,4,4,4,2,3,4,4,4,2,4,4,4,4,0,1,1,4,4,4,4,
['0.04',2,2,2,3,14,3,2,2,8,4,5,14,4,4,4,8,4,4,3,4,3,4,3,3,9,2,11,4,7,4,4,2,2,2,4,3,3,3,2,3,4,4,4,2,4,4,4,4,0,1,1,4,4,4,4,
['0.03',2,2,3,3,12,1,1,3,7,3,6,14,4,4,4,7,4,4,3,3,2,3,3,4,9,1,10,4,7,4,4,2,2,2,4,3,3,3,2,3,4,4,4,2,4,4,4,4,0,1,1,4,4,4,4,
['0.02',1,1,2,2,9,2,1,1,6,2,6,12,3,3,3,7,4,3,3,3,2,3,3,3,7,1,10,3,7,3,3,2,2,2,4,3,3,1,1,2,3,4,4,2,4,4,4,4,0,1,1,3,3,4,4,
['0.01',2,2,2,2,5,0,0,0,1,1,5,10,3,2,2,6,2,2,2,2,2,3,2,2,5,1,6,2,7,1,1,1,1,1,3,2,2,1,1,1,3,4,2,2,2,4,1,3,0,0,1,1,2,2,2,
Drops,3,3,2,2,11,4,4,7,7,3,0,4,1,2,2,2,2,2,2,2,2,1,2,2,7,3,5,2,1,3,3,6,2,3,1,2,2,3,3,3,1,0,2,1,2,0,3,1,4,4,3,3,2,2,2,2.745454545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,5,4,4,1,12,4,4,6,7,4,4,12,4,4,3,7,3,3,3,3,3,3,4,4,13,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,4,4,3,2,3,4,4,
['0.05',5,3,4,2,14,5,3,3,5,4,4,13,4,4,2,5,2,2,2,3,2,2,2,2,9,2,8,2,8,3,3,3,2,2,3,3,3,3,2,2,4,4,4,4,2,2,2,2,1,2,2,2,4,4,4,
['0.04',2,2,2,2,8,5,2,2,3,3,4,16,4,3,2,6,2,2,2,2,2,2,2,2,6,2,8,2,7,2,3,3,2,2,3,3,3,2,1,2,4,4,4,4,1,2,2,3,1,2,2,2,3,3,3,
['0.03',2,3,2,2,6,4,2,2,3,3,4,13,5,3,2,4,2,2,2,2,2,2,2,2,6,2,7,2,6,2,3,4,2,2,3,3,2,2,2,2,4,4,4,4,1,2,2,2,2,1,1,1,2,2,3,
['0.02',2,2,2,1,6,3,2,2,2,2,4,11,4,3,2,4,3,2,2,2,2,2,2,2,6,1,8,2,5,2,3,2,2,2,3,3,2,2,1,1,3,3,2,2,0,1,2,2,0,0,0,0,2,2,4,
['0.01',1,2,1,2,2,2,1,0,1,0,1,6,2,3,1,4,2,2,2,2,2,2,2,2,3,1,5,2,3,2,2,0,0,0,3,1,1,0,0,0,2,3,2,2,0,0,0,1,0,0,0,1,1,1,2,
Drops,4,2,3,0,10,2,3,6,6,4,3,6,2,1,2,3,1,1,1,1,1,1,2,2,10,3,7,2,5,2,2,8,4,4,1,3,3,4,4,4,2,1,2,1,4,3,3,3,4,4,3,2,2,3,2,3.127272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,4,16,4,4,7,7,5,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,3,3,8,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,4,4,4,4,4,4,4,
['0.05',2,2,2,2,13,4,4,5,6,4,4,12,4,3,3,8,4,4,4,4,4,4,3,4,11,3,11,3,6,3,3,4,3,2,4,4,4,3,2,2,4,2,3,2,2,3,3,2,2,3,3,3,4,4,4,
['0.04',2,2,2,2,11,3,3,4,4,3,4,11,4,4,3,7,3,2,2,4,2,3,3,4,11,3,10,3,6,3,3,4,2,2,4,4,4,3,3,3,3,2,3,2,2,2,2,2,2,3,3,3,4,3,4,
['0.03',2,2,2,2,10,3,3,4,4,3,3,10,3,5,2,5,2,2,2,4,2,2,3,3,9,3,7,3,6,3,3,2,2,1,4,3,3,2,2,2,3,1,2,1,2,2,2,2,1,1,1,2,3,3,4,
['0.02',1,2,1,1,6,2,1,2,2,3,2,9,2,5,2,4,1,1,1,3,2,2,2,3,4,1,7,2,4,1,2,2,1,1,3,2,2,2,1,1,3,1,1,2,1,2,2,2,1,1,1,1,3,3,3,
['0.01',1,2,1,1,5,1,1,2,2,2,3,6,2,5,2,5,1,1,1,3,2,2,2,2,3,1,4,1,4,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,
Drops,3,2,3,3,11,3,3,5,5,3,2,6,2,1,2,4,3,3,3,1,2,2,2,2,9,3,8,3,4,2,2,6,3,3,2,2,2,3,3,3,2,2,3,2,3,2,2,0,3,3,3,3,2,2,2,3.054545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,5,4,7,7,5,4,14,4,4,2,6,3,3,3,3,1,1,3,2,11,4,14,4,7,4,4,6,4,4,4,4,4,4,4,3,1,2,2,0,3,3,3,2,2,3,4,4,4,4,4,
['0.05',3,4,4,2,7,5,3,3,3,4,4,15,3,4,2,5,1,1,2,2,1,1,1,2,7,3,10,2,6,2,2,2,1,1,4,2,3,3,3,2,1,2,1,0,2,1,1,2,1,1,1,2,3,3,3,
['0.04',3,3,4,1,4,4,2,3,4,2,4,9,2,3,1,3,1,1,1,2,1,1,1,1,7,2,9,1,5,2,1,2,1,1,4,2,3,2,2,1,1,2,1,0,2,1,1,1,1,1,1,1,2,3,3,
['0.03',3,3,4,1,3,2,1,2,1,2,4,8,2,1,0,2,0,0,0,1,0,0,0,0,4,0,4,0,5,1,1,2,1,1,4,2,2,0,0,0,1,1,1,0,0,2,1,1,1,1,1,1,2,3,3,
['0.02',2,2,2,0,2,2,1,1,1,1,3,8,1,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,6,1,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,2,2,
['0.01',3,1,1,0,0,0,0,1,1,0,1,4,0,2,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,
Drops,2,3,3,3,11,5,4,6,6,5,3,10,4,3,2,5,3,3,3,3,1,1,3,2,9,4,13,4,6,4,4,6,4,4,3,4,4,4,4,3,1,1,2,0,3,2,3,2,2,3,4,4,4,3,3,3.836363636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,13,4,4,6,7,4,4,15,4,5,4,7,4,4,3,4,1,3,4,4,12,4,10,4,7,4,3,8,4,4,4,4,4,5,3,3,3,4,4,3,3,3,2,2,4,4,4,4,4,4,4,
['0.05',4,4,4,3,10,4,3,3,4,3,4,16,4,3,3,5,4,3,3,2,2,2,1,3,6,1,9,1,6,4,3,3,4,3,4,4,4,2,2,2,3,3,3,3,1,2,2,2,1,2,2,2,4,3,4,
['0.04',3,3,3,2,7,4,3,3,4,2,3,14,3,4,3,5,4,3,3,2,2,2,1,3,4,1,8,1,7,4,3,0,1,1,3,3,3,1,1,2,3,3,2,2,1,2,2,3,0,0,0,0,3,2,4,
['0.03',1,2,2,2,6,4,3,2,3,2,3,14,3,3,3,5,4,3,3,2,1,1,0,1,3,1,6,1,5,3,2,0,0,0,3,4,3,0,0,1,3,2,1,1,1,0,1,2,1,0,1,0,2,1,4,
['0.02',1,1,0,0,1,1,0,0,0,1,2,11,2,5,1,3,0,1,0,1,0,1,0,1,0,1,3,1,6,1,2,0,0,0,2,2,2,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,1,1,4,
['0.01',1,1,0,0,0,0,0,0,0,0,1,5,1,4,1,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,4,
Drops,3,3,4,2,13,4,4,6,7,4,3,10,3,2,3,7,4,3,3,3,1,3,4,4,12,4,8,4,6,4,3,8,4,4,2,3,3,5,3,3,1,2,4,3,3,3,2,2,4,4,4,4,4,3,0,4.036363636