,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station',
GT,4,4,4,4,16,4,4,8,8,4,4,12,4,4,4,8,4,4,4,4,4,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English
Original,4,4,4,4,16,4,4,8,8,4,4,12,4,0,3,8,4,3,3,0,3,4,4,4,12,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['10',4,4,4,4,16,4,4,8,8,5,4,12,4,0,3,7,4,4,4,0,1,3,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['8',4,4,4,4,16,4,4,8,8,5,4,12,4,0,3,7,4,4,4,0,2,2,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,4,4,4,3,4,4,0,4,4,4,4,4,4,4,4,4,
['6',4,4,4,4,14,4,4,8,8,4,4,12,4,1,3,7,4,4,4,0,2,3,4,4,13,4,12,4,8,4,4,6,4,4,4,4,4,4,4,3,4,4,3,4,4,0,4,4,3,3,3,4,4,4,4,
['4',4,4,4,4,15,4,4,8,8,4,4,12,4,0,3,7,4,4,4,0,1,2,4,4,12,4,12,4,8,4,4,7,4,4,4,4,4,4,4,3,4,4,4,4,3,0,4,4,5,4,4,4,4,4,4,
['2',4,4,4,4,14,4,4,8,7,6,4,13,4,0,3,6,4,3,3,0,0,1,4,4,12,4,12,4,8,4,3,8,4,4,4,4,4,4,4,4,4,3,2,3,3,1,4,3,3,3,3,4,5,4,4,
Drops,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,1,1,1,1,0,0,0,0,0.4363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ganda
Original,4,2,3,4,15,5,4,7,9,4,5,11,4,0,1,9,4,3,4,2,4,4,4,4,10,4,12,5,8,3,3,8,4,4,3,4,3,5,5,4,4,4,5,4,3,1,4,4,3,3,3,4,4,4,4,
['10',4,3,3,3,13,5,4,6,9,4,5,11,4,1,2,8,4,3,4,1,0,3,4,4,11,4,13,5,7,3,3,7,4,4,3,4,3,6,5,4,4,4,5,4,3,1,4,3,6,2,3,4,4,4,4,
['8',4,2,3,4,13,5,4,5,9,4,5,11,4,0,1,6,4,3,4,0,0,1,3,3,9,4,13,5,7,3,3,8,4,4,3,4,3,5,5,4,4,4,5,4,3,1,3,4,5,3,3,4,5,4,3,
['6',4,2,3,3,13,6,4,5,9,5,5,13,4,0,1,6,4,3,4,1,0,2,3,3,9,4,12,5,6,4,2,9,4,4,3,4,3,6,2,4,4,4,5,4,3,0,2,1,4,3,3,4,4,4,4,
['4',4,2,3,3,12,5,4,5,8,5,4,12,4,0,1,8,4,3,4,0,0,1,1,1,11,4,11,4,7,3,2,11,4,4,3,4,3,5,3,3,4,4,5,4,3,1,3,2,3,3,3,3,3,4,4,
['2',4,3,3,3,9,4,3,5,8,4,5,8,4,0,0,5,4,3,4,1,0,2,3,2,10,4,10,3,7,1,1,9,4,4,3,5,3,5,3,3,3,4,5,4,3,0,3,3,4,4,3,4,2,4,4,
Drops,0,0,0,1,6,1,1,2,1,0,1,3,0,0,1,4,0,0,0,2,4,3,3,3,1,0,2,2,2,2,2,1,0,0,0,0,0,0,3,1,1,0,0,0,0,1,2,3,0,1,0,1,2,0,1,1.163636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,French
Original,4,4,4,4,16,4,4,8,8,4,4,12,4,0,2,8,4,4,4,0,4,4,4,4,11,4,12,4,8,4,4,8,4,4,4,4,4,4,4,4,4,4,4,3,4,0,4,4,4,4,4,4,4,4,4,
['10',4,4,4,4,16,4,4,8,8,4,5,11,4,0,2,8,4,4,4,0,3,4,4,4,11,4,12,4,6,4,4,8,4,4,4,4,4,4,4,3,4,4,4,3,4,0,4,4,4,4,4,4,4,4,4,
['8',4,3,4,4,16,4,4,8,8,5,5,11,4,1,2,7,4,4,4,0,1,3,4,4,11,4,11,4,7,5,3,8,4,4,4,4,4,5,4,4,4,4,4,4,4,0,4,4,4,5,4,4,4,4,4,
['6',4,3,4,4,16,4,4,8,8,5,5,12,4,0,1,7,4,4,4,0,1,2,4,4,11,4,11,4,6,4,3,7,3,3,4,4,4,4,4,3,4,4,4,3,4,0,4,4,4,5,4,4,4,4,4,
['4',4,2,4,4,16,4,4,8,8,5,5,12,4,2,2,7,4,4,3,0,1,2,4,4,11,4,11,4,6,4,3,6,3,3,4,4,4,4,4,2,4,4,4,4,4,0,4,4,3,6,4,4,4,4,4,
['2',4,3,4,4,16,4,4,8,8,5,5,12,4,1,2,7,4,4,4,0,1,2,4,4,11,4,11,4,6,5,3,7,3,3,4,4,4,4,1,2,3,3,3,2,4,0,4,4,4,5,4,4,4,4,4,
Drops,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,3,2,0,0,0,0,1,0,2,0,1,2,1,1,0,0,0,0,3,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.5272727273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gujarati
Original,4,4,4,4,16,4,4,7,8,4,4,12,4,0,3,8,4,4,4,0,2,3,4,4,12,4,11,5,8,4,4,8,4,4,4,4,3,4,4,3,4,4,4,4,4,0,4,4,4,4,4,3,4,4,4,
['10',5,4,4,4,16,4,4,7,8,4,4,11,4,1,2,8,3,2,2,0,1,2,4,4,13,4,12,5,8,4,4,7,4,4,4,4,3,4,4,3,4,4,4,4,4,0,4,4,4,4,4,2,3,4,4,
['8',5,4,4,4,16,4,4,7,8,4,4,11,4,2,2,8,3,3,3,0,1,2,4,4,13,4,12,5,8,4,4,6,4,4,4,4,3,5,4,3,4,4,4,3,4,0,4,4,4,4,4,2,3,3,3,
['6',4,4,4,3,16,4,4,8,8,4,4,12,4,1,1,7,4,4,4,0,1,2,3,3,13,4,11,4,8,4,4,6,4,4,4,3,4,4,4,3,4,4,4,3,4,0,4,4,4,4,4,2,4,4,4,
['4',5,4,4,4,15,4,4,6,9,4,4,11,4,2,2,8,3,2,2,0,0,2,2,2,13,4,12,4,9,4,4,6,4,5,4,4,4,4,4,3,4,4,4,2,4,0,4,4,4,4,3,2,3,3,3,
['2',4,4,3,3,16,4,4,5,7,5,4,10,4,1,0,6,3,3,3,0,0,2,2,3,14,4,11,5,9,4,3,6,4,3,4,3,2,4,4,2,4,3,4,2,3,0,2,2,4,4,3,2,3,3,3,
Drops,0,0,1,1,1,0,0,2,1,0,0,2,0,0,3,2,1,2,2,0,2,1,2,2,0,0,0,1,0,0,1,2,0,1,0,1,1,0,0,1,0,1,0,2,1,0,2,2,0,0,1,1,1,1,1,0.8363636364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indonesian
Original,4,4,4,3,16,4,4,6,6,4,4,12,4,0,3,7,3,1,1,0,2,2,4,4,10,4,11,3,8,4,2,8,4,4,4,4,5,4,4,3,4,4,4,3,4,0,4,4,4,4,4,4,4,4,4,
['10',4,4,4,4,16,4,4,6,6,4,5,12,4,1,4,8,4,3,3,0,1,2,4,4,12,4,10,3,8,4,3,8,4,4,4,4,5,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['8',4,4,4,4,16,4,4,6,6,4,5,12,4,2,3,7,3,2,2,0,1,2,3,3,12,4,11,3,8,4,3,8,4,4,4,4,5,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['6',4,4,4,4,16,4,4,7,7,4,5,12,3,3,3,8,4,4,4,0,1,2,4,4,12,4,10,3,9,4,3,8,4,4,4,4,5,4,4,2,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,
['4',4,4,4,4,16,4,4,8,8,5,5,11,4,3,3,8,4,3,3,0,0,2,3,3,12,4,10,3,9,4,4,8,4,4,4,4,5,4,4,2,4,4,4,4,3,2,3,3,4,4,4,4,4,4,4,
['2',4,4,4,4,16,4,4,7,7,5,5,11,4,1,2,7,3,2,2,0,1,1,3,3,11,4,11,3,8,4,3,8,4,4,4,4,4,5,3,2,3,4,4,4,3,2,3,3,4,4,4,4,4,3,3,
Drops,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0.3272727273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Korean
Original,3,2,1,1,10,3,3,6,7,3,3,12,4,0,1,5,3,2,2,1,0,0,3,3,11,4,11,4,7,4,4,5,4,4,4,3,4,3,3,3,1,4,3,2,3,2,2,4,2,3,4,4,3,3,3,
['10',2,2,3,2,8,3,2,5,6,2,4,10,4,1,1,6,3,3,2,0,0,1,2,1,11,4,10,3,6,4,2,4,3,3,3,3,4,3,3,2,2,4,2,2,3,1,2,4,1,2,2,3,3,3,3,
['8',2,2,1,1,8,4,3,5,6,3,2,9,2,1,1,6,3,3,3,0,0,1,2,2,12,4,10,3,6,4,2,4,3,3,3,3,4,3,3,2,2,4,2,2,3,2,1,3,1,2,2,3,3,3,3,
['6',2,2,2,0,5,5,3,4,4,3,3,9,3,0,0,6,3,2,2,0,0,1,2,1,10,3,11,2,5,3,1,3,4,4,4,3,4,4,2,1,2,2,2,2,3,3,0,1,1,2,2,4,3,3,4,
['4',1,1,2,0,8,3,2,3,5,4,3,13,3,0,0,4,2,2,2,0,0,0,2,2,12,3,9,2,7,4,0,3,4,4,4,3,4,4,2,1,3,3,2,2,3,1,1,1,4,3,2,4,3,3,3,
['2',2,1,1,0,7,2,2,2,4,3,3,12,2,0,0,5,2,1,1,0,0,0,2,1,11,3,10,2,7,4,1,5,3,4,3,3,4,3,2,1,3,2,2,1,3,1,0,1,1,2,2,4,3,3,3,
Drops,2,1,0,1,5,1,1,4,3,1,1,3,2,0,1,1,1,1,1,1,0,0,1,2,1,1,2,2,2,1,4,2,1,1,1,0,0,0,1,2,0,2,1,1,0,1,2,3,1,1,2,1,0,0,0,1.272727273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russian
Original,4,4,3,3,13,3,4,8,8,4,4,13,4,1,4,9,4,4,4,2,2,3,4,4,9,4,9,5,7,4,3,8,4,4,4,4,3,4,3,2,4,4,4,4,3,0,2,3,4,4,3,4,4,4,4,
['10',4,4,4,4,11,3,4,8,8,3,4,13,4,0,3,7,4,4,3,2,0,3,4,4,9,4,7,3,8,3,3,8,4,4,4,5,3,5,2,2,4,3,3,4,3,0,2,3,4,4,3,3,4,4,4,
['8',4,5,4,3,9,3,4,8,8,2,4,13,4,1,2,6,3,3,2,1,0,2,5,4,9,4,10,3,7,3,3,9,4,4,4,5,5,6,2,2,4,4,4,3,3,0,3,3,4,4,3,3,4,4,4,
['6',4,5,3,3,12,3,4,6,8,4,4,11,4,2,0,5,3,3,3,1,0,3,4,4,11,4,8,3,7,3,3,8,4,4,4,5,2,4,2,2,4,1,1,3,3,0,2,3,4,4,3,3,4,4,4,
['4',4,5,3,3,10,3,3,6,7,6,4,12,4,1,0,3,3,3,3,0,0,0,5,4,10,4,9,4,7,3,3,8,4,3,4,5,3,5,2,2,3,3,3,3,4,0,3,3,4,4,1,3,4,4,4,
['2',4,5,4,3,9,3,4,6,8,4,4,13,4,2,0,2,3,2,2,0,0,1,3,4,10,3,10,4,6,3,3,8,4,4,4,5,1,4,2,2,4,3,3,3,3,0,2,2,4,4,1,3,4,4,4,
Drops,0,0,0,0,4,0,1,2,1,2,0,2,0,1,4,7,1,2,2,2,2,3,1,0,0,1,2,2,1,1,0,0,0,1,0,0,2,0,1,0,1,3,3,1,0,0,0,1,0,0,2,1,0,0,0,1.090909091