HP,500,600,700,800,900
,9,10,8,8,8
,4,4,4,4,3
,9,8,8,8,8
,10,9,10,9,10
,9,9,9,8,8
,9,9,7,10,9
,8,10,8,5,9
,7,6,4,5,5
,8,7,9,7,9
,7,6,8,6,7
,10,8,8,9,9
,9,10,8,10,7
,5,7,5,7,6
,8,8,8,7,9
,10,10,10,9,10
,9,7,7,9,7
,8,7,6,9,8
,10,9,10,8,10
,10,10,9,10,10
,9,10,9,10,9
,9,8,10,8,7
,8,7,6,7,7
,7,8,8,9,8
,9,8,9,8,8
,8,10,10,8,9
,8,6,9,8,9
,8,6,8,6,8
,10,4,4,3,4
,7,7,7,6,7
,6,7,6,7,7
,7,9,6,9,8
,9,9,10,9,9
,7,9,7,9,8
,7,9,9,10,8
,9,9,9,9,9
,6,5,6,5,6
,10,9,8,7,8
,10,9,7,8,10
,8,10,9,10,8
,3,3,2,1,1
,10,9,9,9,9
,8,7,6,7,7
,5,5,6,6,7
,8,8,8,7,7
,7,8,9,7,8
,7,9,8,9,9
,10,9,7,8,7
,9,8,8,7,9
,6,7,7,6,7
,8,8,7,8,7
,6,8,7,7,7
,10,7,10,9,9
,6,7,7,7,6
,9,8,8,8,8
,9,3,2,10,4
,8,8,8,8,8
,6,7,6,7,6
,8,6,9,7,10
,9,10,9,9,8
,8,9,8,9,10
,6,7,5,7,6
,8,6,8,6,7
,9,8,9,8,9
,8,9,9,8,8
,9,8,10,9,10
,10,9,9,10,10
,9,10,7,9,8
,10,9,10,9,9
,10,10,10,9,9
,8,9,8,8,9
,10,10,7,9,9
,7,7,8,6,6
,7,9,8,9,9
,6,4,6,6,5
,7,8,8,7,8
,9,8,7,9,8
,8,6,7,5,7
,9,8,7,7,5
,10,10,9,10,8
,8,3,9,6,4
,6,4,9,6,5
,8,8,9,8,9
,8,7,7,7,7
,8,10,9,9,9
,10,10,8,10,10
,9,8,6,7,7
,6,8,7,6,8
,5,7,6,6,5
,5,6,6,4,7
,9,9,9,9,9
,10,10,10,10,10
,8,7,7,7,6
,8,9,7,9,9
,7,7,6,4,6
,7,8,8,9,7
,7,6,7,8,6
,9,8,8,8,8
,7,8,6,6,6
,6,4,8,6,7
,8,6,9,6,9
,4,6,5,6,9
,7,9,7,6,9
,8,8,7,9,8
,7,7,8,7,6
,7,7,7,7,7
,7,9,7,9,7
,10,10,10,10,10
,6,8,6,7,6
,8,9,8,9,6
,7,5,9,3,9
,7,8,8,7,8
,9,9,10,9,9
,5,10,5,10,5
,7,7,7,7,7
,7,8,7,9,6
,9,9,7,10,9
,7,9,8,10,8
,8,10,7,8,9
,7,8,5,5,9
,8,9,10,8,9
,9,10,9,9,10
,6,7,6,6,7
,6,6,8,4,4
,3,5,3,3,4
,7,4,3,2,4
,9,7,10,8,9
,6,7,4,7,7
,9,9,8,8,7
,8,8,7,8,9
,8,8,7,8,9
,9,7,9,5,8
,9,8,6,8,6
,7,9,7,8,7
,8,8,8,8,8
,9,9,9,9,9
,9,7,9,7,8
,8,3,3,2,2
,9,10,9,8,7
,8,8,7,6,6
,9,7,8,4,3
,6,7,7,6,6
,8,8,9,9,8
,9,8,9,8,10
,10,7,9,9,9
,8,9,10,7,9
,9,7,7,6,5
,8,2,2,8,7
,7,5,5,4,4
,5,7,5,5,4
,7,10,8,7,9
,9,6,9,7,9
,7,6,8,6,7
,8,7,7,6,7
,6,9,7,10,8
,8,9,7,6,6
,6,8,7,6,7
,5,4,3,3,3
,9,8,8,8,8
,7,6,9,6,9
,7,8,8,8,8
,5,5,6,6,5
,10,9,8,7,9
,10,7,9,8,7
,10,9,9,10,9
,8,8,7,8,9
,7,7,7,7,7
,10,9,9,10,9
,10,10,10,10,10
,10,9,10,10,9
,8,9,10,10,9
,7,7,7,8,7
,8,7,5,3,2
,10,9,10,9,9
,9,8,7,7,9
,7,6,7,7,7
,8,6,7,5,7
,8,7,10,8,10
,7,8,8,9,7
,8,9,7,9,8
,6,5,7,6,5
,7,8,8,6,8
,8,8,7,8,8
,6,6,6,5,6
,3,3,4,3,2
,9,8,8,8,7
,6,4,8,6,9
,10,5,4,4,4
,7,8,7,7,9
,8,5,8,5,8
,3,6,4,7,5
,9,8,6,4,6
,8,8,7,9,9
,5,7,6,8,6
,6,7,4,7,6
,4,4,3,5,3
,5,3,2,3,2
,8,8,7,10,8
Average,7.756345178,7.553299492,7.401015228,7.324873096,7.411167513
STD,1.607229472,1.779547001,1.825722945,1.912910116,1.894804162